epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.608028213794415,4.607005695343018,1.17,5.49
1,4.602955250862317,4.586193173980713,1.45,7.6
2,4.594410957434238,4.562808416748047,3.19,11.32
3,4.583145109812419,4.527680101776123,3.9,13.51
4,4.565104755988488,4.470265969085693,4.13,14.88
5,4.543711760105231,4.39999771270752,4.43,16.59
6,4.5191526950934,4.316469181060791,5.74,21.05
7,4.500978567661384,4.266760065460205,6.46,22.97
8,4.483440690162855,4.203820541381836,7.37,23.91
9,4.4718875469305575,4.1804566619873045,7.62,25.85
10,4.460114642901298,4.121607278442383,8.49,27.45
11,4.440636835342798,4.061405341339111,9.35,29.13
12,4.440504690317007,4.023911988449097,9.58,30.24
13,4.432068792978923,4.006535328674317,10.2,30.91
14,4.432642127306034,4.001040534973145,8.91,30.11
15,4.435229462843675,3.9894304859161376,9.58,29.5
16,4.41754919443375,3.958535105133057,10.86,32.49
17,4.412804632920485,3.961484520339966,10.79,33.11
18,4.41096120247474,3.885409574508667,11.43,34.72
19,4.402594649486053,3.97791548500061,10.72,31.45
20,4.397793405483931,3.8503988578796386,12.73,37.13
21,4.392533008868877,3.8340926002502442,13.08,38.16
22,4.384630391536615,3.8168740547180176,14.01,38.69
23,4.3785524050394695,3.8025004791259764,13.94,39.33
24,4.380797163645426,3.783862879562378,14.12,38.74
25,4.367301080165765,3.7100593101501467,15.66,41.41
26,4.355578813797388,3.7164672744750975,15.38,41.94
27,4.366741674374311,3.7013687629699707,15.57,41.89
28,4.368294642521785,3.6776030254364014,16.01,41.7
29,4.35304347551786,3.730893628692627,15.34,41.14
30,4.3575888560368465,3.713703684234619,14.77,40.8
31,4.357178037594526,3.687511500930786,15.07,40.45
32,4.341406042147906,3.703402796936035,15.05,41.95
33,4.344333223196176,3.6495904457092285,15.8,41.99
34,4.373486513969226,3.6768480247497557,15.39,41.58
35,4.360591497176733,3.6442339492797853,16.94,42.67
36,4.351599847353421,3.691402499008179,15.21,41.95
37,4.344938742808806,3.765196221923828,15.82,42.24
38,4.3395286413339464,3.664834720611572,16.28,43.19
39,4.354839283380753,3.648295765686035,15.65,40.96
40,4.32787176767985,3.588357667541504,17.71,44.77
41,4.3344647676516805,3.6692231468200682,16.93,44.62
42,4.335893836388221,3.6070167221069336,16.65,44.4
43,4.33743123519115,3.582921035003662,18.0,45.7
44,4.322538194900904,3.5259945152282715,18.73,46.62
45,4.335710305434007,3.6096899513244627,18.66,46.39
46,4.319340958962074,3.624998815536499,17.23,46.04
47,4.3045462437165085,3.5728341781616213,17.01,44.7
48,4.318294202364408,3.5546500328063964,19.09,47.53
49,4.334256783509866,3.5526714973449707,17.99,45.46
50,4.3005543415363015,3.5574904373168947,16.09,42.28
51,4.308940166082138,3.5217754581451417,19.43,48.56
52,4.308495169419508,3.519793920135498,18.08,45.04
53,4.289206837385128,3.5231158870697024,18.47,46.75
54,4.289433044042343,3.551237120437622,17.08,44.91
55,4.301716498839549,3.5316188774108888,17.73,45.89
56,4.30017391596085,3.4375427730560304,19.71,49.23
57,4.285236062759008,3.523493123245239,18.47,47.26
58,4.2911373774210615,3.409974267578125,20.81,50.38
59,4.265781320669713,3.431691804122925,20.37,49.1
60,4.277025936811398,3.496857002258301,19.46,47.37
61,4.281344373409564,3.4357664531707766,19.95,48.99
62,4.275734120148879,3.379800672149658,20.9,49.6
63,4.264631118529882,3.4124271369934083,20.14,49.14
64,4.2696736592512865,3.4262048053741454,18.82,48.1
65,4.267379610355084,3.4233985565185545,18.22,47.82
66,4.262710420901959,3.425897242355347,20.6,50.89
67,4.276217757738554,3.4172533973693846,20.49,49.47
68,4.282921896225367,3.4942991355896,20.19,49.56
69,4.251412694882124,3.381943116760254,19.81,48.11
70,4.272924096767719,3.441273620223999,19.62,48.83
71,4.278417500471457,3.46298299407959,19.87,47.9
72,4.254458111983079,3.4350246265411375,19.24,48.34
73,4.276153203768608,3.4324955902099608,19.83,49.6
74,4.277127182789338,3.392919968032837,21.17,50.41
75,4.275005027575371,3.3898032745361326,20.75,51.18
76,4.267324587015005,3.4046788749694823,19.96,50.32
77,4.245519386193691,3.4254871780395506,20.41,50.64
78,4.265896187073145,3.4469675468444825,20.47,51.4
79,4.245602193245521,3.375553653717041,21.22,52.14
80,4.2716829361059725,3.411280197143555,20.72,48.78
81,4.2780565102895105,3.4626647579193115,21.29,50.77
82,4.251264080634484,3.2706590385437013,23.31,53.81
83,4.261812148950039,3.3954433094024656,20.38,50.84
84,4.245519817792452,3.359544849014282,21.71,51.59
85,4.262726959815392,3.376837474822998,20.77,50.1
86,4.249334526062012,3.3118121921539307,21.66,51.67
87,4.252092878635113,3.3591010234832765,20.36,50.89
88,4.251025335605328,3.3256266471862794,21.85,51.08
89,4.236225980367416,3.3023978290557863,22.0,53.08
90,4.262564645669399,3.299344987487793,22.71,51.93
91,4.257886898823274,3.3448663623809813,22.63,52.63
92,4.223981587092082,3.3952992950439453,21.64,49.93
93,4.219558834418272,3.271249507141113,21.89,52.2
94,4.260422424169687,3.322986308670044,22.18,51.79
95,4.2371033155001125,3.311001366043091,21.97,51.82
96,4.249790733288496,3.3273406383514406,22.55,52.76
97,4.249014392265907,3.351149301147461,22.14,51.75
98,4.248332855028984,3.4065093349456785,22.6,51.78
99,4.227404973445794,3.2748500797271727,22.69,52.16
100,4.236086279306656,3.31642972946167,22.37,52.26
101,4.255883864867381,3.3156861740112307,21.76,53.02
102,4.227851407955854,3.319996045303345,21.78,53.17
103,4.225665959333762,3.3215555294036867,22.86,52.67
104,4.234499305333847,3.2780819820404052,23.21,53.45
105,4.220608366452731,3.268250025177002,23.19,52.85
106,4.234970493805714,3.2710302871704102,22.61,53.78
107,4.223734184411856,3.2878267345428465,23.3,53.42
108,4.233934691013434,3.3088682720184326,22.01,51.87
109,4.240683378317417,3.2892431842803953,21.7,51.64
110,4.240063537695469,3.269895588684082,22.9,52.94
111,4.242324249561016,3.3800692832946777,21.98,52.36
112,4.2177895497053095,3.229140961074829,23.24,53.82
113,4.223923109739255,3.230298518371582,24.01,55.42
114,4.215361272371732,3.3062882190704346,22.14,50.64
115,4.210393266188793,3.220711629486084,24.37,54.53
116,4.22847991111951,3.2809165576934816,22.56,52.68
117,4.22387133255983,3.2574837074279785,23.49,53.95
118,4.229139935664642,3.2586191204071047,24.06,55.15
119,4.233904351943578,3.327601360321045,23.39,53.26
120,4.223583640807714,3.295820582962036,24.25,54.25
121,4.211357216957288,3.2514787090301516,23.32,54.43
122,4.235068957010905,3.227031744003296,24.36,54.48
123,4.213480824690599,3.2724079776763917,22.03,52.67
124,4.208334714938433,3.22640352973938,23.91,54.85
125,4.222455847569001,3.2460713470458984,22.39,53.52
126,4.227444236706464,3.20575760307312,23.4,54.51
