epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.617793339949388,4.618091334533691,1.28,4.4
1,4.594799821804731,4.521928742980957,3.08,12.51
2,4.565808787712684,4.460955871582032,4.58,16.4
3,4.5499802442697375,4.403215622711182,5.04,18.47
4,4.528200274247389,4.3248304084777835,6.07,21.41
5,4.507286328535813,4.263088162231445,6.24,22.81
6,4.481099106715276,4.192274192810059,7.58,24.52
7,4.466888442406288,4.127493225097656,7.85,26.39
8,4.493429704812857,4.215231103515625,7.25,23.67
9,4.488247653765556,4.099542813873291,9.37,28.56
10,4.457076938335712,4.092414973449707,9.14,28.31
11,4.489845537528014,4.2130907508850095,6.61,23.22
12,4.492247813787216,4.340943740844726,5.21,19.66
13,4.5655589861747545,4.455036977386475,3.35,13.58
14,4.6041200980162005,4.579112364959717,2.32,7.85
15,4.611084392743233,4.609341679382324,0.99,5.22
16,4.6113424276694275,4.609044864654541,0.96,5.09
17,4.608897717793782,4.589721640014648,1.63,6.6
18,4.601496916550857,4.576459743499756,1.77,8.18
19,4.601959986564441,4.574265085601807,1.43,7.38
20,4.601697836166773,4.5616506980896,1.87,8.39
21,4.600552981939071,4.56785650100708,2.05,8.74
22,4.603750500312218,4.589868023681641,1.42,6.6
23,4.602503627385849,4.581247010040284,1.66,7.65
