epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.710145931977492,4.709266719818115,0.96,4.89
1,4.553092164259691,4.242144161987305,7.12,23.54
2,4.490420178878002,4.063151609802246,9.76,29.08
3,4.44428773904458,3.9349185894012453,11.6,33.96
4,4.409852833625598,3.877745890045166,11.22,34.54
5,4.391308478820018,3.7840760719299316,13.73,38.37
6,4.357682038576175,3.6595072242736815,15.72,42.11
7,4.3325372109046345,3.549648443222046,18.67,43.9
8,4.30904446442922,3.478531820297241,19.53,47.89
9,4.281610848353459,3.3737710231781004,21.74,51.09
10,4.274952358465928,3.4127904598236083,20.9,50.4
11,4.260863085282154,3.331786547470093,22.69,52.91
12,4.259586076858716,3.2754560325622557,23.67,53.11
13,4.246164226531983,3.263461089706421,23.89,54.1
14,4.239330132802327,3.2828846939086915,22.88,53.23
15,4.2198370957985905,3.1982807136535643,24.75,56.18
16,4.220620999580775,3.3303705772399903,22.34,52.31
17,4.2283064664938514,3.201513103103638,23.14,54.58
18,4.227188277244568,3.326837692642212,22.61,53.12
19,4.241654086112976,3.341547346496582,20.92,51.54
20,4.255727832133953,3.311888522720337,22.45,52.77
21,4.243548575425759,3.253230964279175,21.39,51.95
22,4.251877062137311,3.3654225975036622,21.25,50.02
23,4.243541207680336,3.3301341037750243,23.26,53.3
24,4.235624388548044,3.252122296142578,22.65,53.47
25,4.240378738060976,3.3103506996154786,22.04,52.54
26,4.235092583680764,3.287279502487183,23.2,53.07
27,4.220022499866975,3.213290531539917,23.03,54.9
28,4.230087188573984,3.225289847946167,23.16,54.78
29,4.227395780881246,3.3452617385864256,22.3,54.05
30,4.229805380258805,3.2334005153656005,23.59,53.63
31,4.218687179761055,3.304588747787476,23.21,53.33
32,4.219947121082208,3.320843846130371,25.91,56.03
33,4.206509013665028,3.229774871826172,24.51,55.44
34,4.207080265191885,3.223255029296875,25.13,56.48
35,4.192656583052415,3.2091185287475588,24.41,55.74
36,4.189495610579466,3.175780799484253,25.37,56.48
37,4.183509980715238,3.186437113571167,26.27,56.75
38,4.190749235030932,3.139985647201538,24.84,57.21
39,4.183314457917825,3.157288028717041,24.72,56.1
40,4.165213754238226,2.9858122566223146,28.97,61.38
41,4.18087724111019,3.0592638080596926,27.75,56.88
42,4.160998881780184,3.1003099212646483,26.71,57.24
43,4.182656590755169,3.1091188091278075,26.23,58.03
44,4.18259358161535,3.147718090057373,26.11,56.27
45,4.18835922571329,3.1377324253082275,27.58,58.63
46,4.1674985610521755,3.0846176700592043,27.84,60.33
47,4.166800492237776,3.079468606567383,29.52,59.72
48,4.1677648073587665,3.034463927078247,28.95,60.93
49,4.165088487894107,3.1059837730407716,27.72,59.36
50,4.156850283573835,3.0358283809661866,30.75,61.61
51,4.159937675182636,3.0994025955200195,26.66,57.91
52,4.143245605933361,2.9762177932739258,29.8,62.76
53,4.130390395873632,2.955636960983276,30.13,61.32
54,4.142008908589681,2.9672615982055666,29.01,61.54
55,4.140058281482794,2.9844947662353514,27.72,58.51
56,4.146936088341933,2.800355091094971,30.55,64.08
57,4.147428846970582,2.840467293548584,31.78,63.41
58,4.118956632491869,2.836111320114136,29.87,62.99
59,4.141691134526179,3.0514908279418944,28.16,61.32
